Max_temp,Min_temp,Rainfall,Year_dec
8.7,3,74.8,1949
4.5,-0.1,62.3,1950
8.7,2.6,81.3,1951
7.3,1.7,50,1952
10.3,4.9,51.5,1953
9.6,5,100.3,1954
9.5,4,108.4,1955
9.3,4.7,89.1,1956
8.5,2.9,74.9,1957
7.8,2.9,90.3,1958
8.9,3.4,132.1,1959
6.9,1.4,95.4,1960
7,1.1,57.1,1961
7.3,2.4,75.3,1962
7.1,2.9,16.4,1963
7.7,2.1,111.8,1964
7.8,2.3,97.1,1965
9.2,2.7,115.1,1966
7.7,2.9,45.5,1967
7.4,3.1,109.1,1968
7.6,2.2,63.5,1969
8.1,3.2,50.6,1970
9.9,5.7,36.4,1971
10,4.6,82.6,1972
8.6,3.1,72.7,1973
10.8,5.8,37.9,1974
8,3.8,33.1,1975
5.5,1.4,48,1976
9.2,5.6,65.1,1977
8.1,3.9,217,1978
8,3.1,112.4,1979
9,3.7,49.7,1980
5.4,0.7,133,1981
7.9,2.2,70.3,1982
10,5,123.2,1983
9,3.1,87.7,1984
9.6,4.4,72.4,1985
9.2,2.8,71.8,1986
9.8,5.8,39.5,1987
10.5,6.1,40.5,1988
8.4,4.2,55.9,1989
7.7,2.6,78.7,1990
9.3,4.7,38.1,1991
8,2.8,41.6,1992
8.3,3.1,105.7,1993
9.6,3.7,86,1994
6.9,2.2,72.7,1995
6.8,1.6,54.3,1996
9.1,3.7,90.5,1997
9.4,2.6,70.3,1998
7.5,1.6,82.5,1999
7.9,2.7,126.3,2000
7.9,1.2,21.7,2001
8.2,4.5,97.5,2002
8.7,1.7,60.4,2003
9.1,3.6,45,2004
8.7,2.8,73,2005
9.6,3.7,94.6,2006
9.5,3.2,63.8,2007
7.5,1.4,39.4,2008
6.6,0.6,69.1,2009
3.3,-3.5,58.1,2010
8.5,3,51.9,2011
8.4,2.4,52.3,2012
9.9,4,83.2,2013
7.9,2.8,55.9,2014
12,5.3,193.5,2015
10.1,3.3,46.6,2016
8.1,2.5,63.1,2017
10,5.4,81,2018
