Max_temp,Min_temp,Rainfall,Year_jul
19.4,11.7,40.7,1949
18.5,11,81.6,1950
19.2,10.8,47.9,1951
19.4,11.5,28.7,1952
18.4,10.9,78.7,1953
17.2,10.1,55.2,1954
20.5,11.7,14.1,1955
17.9,11.3,98.5,1956
18.2,12,86.9,1957
18,11.3,109.5,1958
19.8,11.8,45.2,1959
18.3,11,139.8,1960
17.5,10.6,52.6,1961
16.9,10.5,68,1962
17.4,10.4,23.5,1963
18.6,11.6,47.4,1964
16.5,9.7,79.2,1965
18.4,10.3,37.1,1966
19,11.7,83.7,1967
17.6,10.8,15.9,1968
19.9,12.1,43.8,1969
18.7,10.5,68.2,1970
19.7,11.8,62.8,1971
18.4,11.3,41.1,1972
18.4,11.2,72.8,1973
18.2,10.3,99.7,1974
20,12.8,27.8,1975
19.7,12.2,82.8,1976
19.1,11.9,26.1,1977
18.1,10.5,50.5,1978
19.6,11.8,47,1979
17.4,10.5,39.4,1980
18.3,11.2,35.5,1981
19.4,11.8,9.2,1982
21.7,13.6,18.1,1983
20.7,11.6,30.8,1984
18.8,11.3,107.2,1985
18.1,11.4,57.5,1986
19.7,11.9,32.6,1987
17.8,10.6,80.3,1988
22.4,13,9.6,1989
19.8,11.8,48,1990
19.4,12.6,26.4,1991
19.1,12.1,69.9,1992
18.3,11.3,60.1,1993
18.9,10.6,64.5,1994
20.9,11.6,70.2,1995
19.5,10.3,36.8,1996
19.5,10.5,54.1,1997
18.2,10.6,54.2,1998
20.2,11.6,35.3,1999
18.6,10.5,48,2000
19.6,10.7,30.5,2001
18.3,10.4,68.9,2002
20,12.3,47.6,2003
18.7,10.2,38.1,2004
19.2,11.7,83.4,2005
22,11.8,18.2,2006
18.2,10.1,127.1,2007
18.7,11,111.4,2008
18.8,11,165.4,2009
19.6,12.3,78.5,2010
18.3,9.2,42.6,2011
18,10,85.3,2012
21.9,11.6,68.8,2013
20.6,11.1,35,2014
18.1,9.5,69.2,2015
19.9,11.5,43.7,2016
19.5,10.5,42.2,2017
21.6,10.5,40,2018
