Max_temp,Min_temp,Rainfall,Year_mar
9.5,2.6,57.6,1949
11.2,3.6,33.6,1950
7.5,1.3,85.9,1951
9.9,4,31.1,1952
9.4,2.1,9.3,1953
9.2,3.2,54.1,1954
7.7,0.7,31.7,1955
9.5,4.4,45.6,1956
12.2,6.8,70.3,1957
7.1,1.6,23.4,1958
10.1,4.6,39.7,1959
8.6,4.5,97.2,1960
12.4,5.1,4,1961
6.8,0.2,53.6,1962
9.9,3.4,65.2,1963
7.8,3.2,106.6,1964
9.2,2.8,54.6,1965
10.7,3.8,40.2,1966
10,3.6,26.4,1967
10,2.9,41.5,1968
6.6,2.2,46.9,1969
8.3,1.5,32.5,1970
8.8,3.1,78.8,1971
9.4,3.3,50.1,1972
10.5,3.2,11.1,1973
9,3.4,31.7,1974
8.3,2.6,43.3,1975
8.7,3.4,65.8,1976
10,4.8,57.3,1977
10.1,3.3,63,1978
8.1,1.4,63.7,1979
8.5,2.2,73.7,1980
11.2,5.3,101.6,1981
10.2,2.5,45.4,1982
10.3,4,61,1983
8.1,2.7,53.2,1984
9,2.3,72.5,1985
9.5,2.5,64.7,1986
8.6,1.9,56.6,1987
10.2,3.7,85.4,1988
11.3,3.5,54.7,1989
11.9,5.6,10.2,1990
10.6,5.1,91.1,1991
11,4.8,65.1,1992
10,4.6,26.2,1993
10.7,4.2,72.1,1994
9,1.5,44.7,1995
7.6,2,70.3,1996
12.1,3.3,15.1,1997
11.2,4.4,65.9,1998
10.9,3.5,36.4,1999
10.7,3.8,21,2000
8.4,1.6,56.2,2001
11.1,3.3,30.3,2002
11.6,2.1,27.1,2003
10.6,2.4,43.9,2004
10.6,4.5,21.9,2005
8.8,2.2,69.7,2006
10.3,2.5,38.8,2007
9.8,2.1,101.8,2008
10.7,2.7,26.2,2009
9.7,0.1,54.8,2010
10.8,0.8,19.4,2011
12.4,3.5,25.6,2012
6,0.2,85.5,2013
10.5,3.1,53.7,2014
9.9,1.6,57.5,2015
9.7,2,36.3,2016
11.4,4,67.2,2017
7.7,0.9,100,2018
