Max_temp,Min_temp,Rainfall,Year_oct
14.4,8.1,96.3,1949
12.8,6.8,78.4,1950
13.7,7.9,13.8,1951
12.2,6.1,85.5,1952
13.5,6.6,42.3,1953
14.6,8.3,133.9,1954
12.7,4.7,25.4,1955
12.9,6.3,41.1,1956
13.7,6.8,71.7,1957
13.7,7.7,52,1958
15,8.3,106.7,1959
13.1,7.1,161.3,1960
13.1,6.5,58.8,1961
13.6,7.2,16.8,1962
14.2,7.8,47.6,1963
12.3,6.1,62.3,1964
14,8.4,41.4,1965
12.5,5.9,132.9,1966
13,6.6,94.4,1967
15.1,9.9,59.8,1968
16.1,10,11.1,1969
13.8,7.8,59.2,1970
15.6,9.7,34.4,1971
14.3,8.3,40.8,1972
12.7,7.3,59.2,1973
11,4.8,26.6,1974
13.8,8.5,55.1,1975
12.8,6.7,156.7,1976
14.7,9.4,76.5,1977
15.3,9.2,31.8,1978
14.1,8.5,119,1979
12.2,6,113.7,1980
11.2,3.9,109.3,1981
13.4,7.1,88.2,1982
13.7,7.3,47.3,1983
14.4,7.3,56.2,1984
14.1,8,19.7,1985
14.3,7,57,1986
12.3,6.2,124.5,1987
13.5,7.6,79.1,1988
14.7,9.1,62.1,1989
14,8.9,149.2,1990
12.6,7.1,85.6,1991
10.8,4.7,29.7,1992
11.4,5.3,86.5,1993
13.3,6.4,45.9,1994
16.2,8.5,38,1995
14.2,7.5,102.4,1996
14,7,67.8,1997
13.5,6.8,75.1,1998
13.6,7,30.5,1999
13,5.5,87.3,2000
15.5,9,90.3,2001
13,5.9,181.2,2002
12.6,5.5,106.6,2003
12.5,5.9,120.2,2004
14.9,8.3,101.8,2005
15.3,7.9,107,2006
15.2,6.7,15.7,2007
12.6,5.2,92.5,2008
14.5,7.7,63,2009
13.8,6.4,30.8,2010
15.1,8.5,169.5,2011
11.9,4.9,71,2012
14.8,8.6,127.8,2013
14.8,7,90.2,2014
13.9,6.4,49.1,2015
13.7,7.2,60,2016
14.8,7.7,47.8,2017
13.3,5.2,42.6,2018
